Time,Server_Heating_Power_kW,Ambient_Temp_Summer_C,Ambient_Temp_Spring_C,Ambient_Temp_Fall_C,Ambient_Temp_Winter_C
03:45,2.35,22.00,6.10,9.90,3.05
03:50,2.40,21.93,6.00,9.83,2.97
03:55,2.45,21.87,5.90,9.77,2.88
04:00,2.50,21.80,5.80,9.70,2.80
04:05,2.58,21.73,5.73,9.65,2.72
04:10,2.67,21.67,5.67,9.60,2.63
04:15,2.75,21.60,5.60,9.55,2.55
04:20,2.83,21.53,5.53,9.50,2.47
04:25,2.92,21.47,5.47,9.45,2.38
04:30,3.00,21.40,5.40,9.40,2.30
04:35,3.08,21.35,5.35,9.35,2.22
04:40,3.17,21.30,5.30,9.30,2.13
04:45,3.25,21.25,5.25,9.25,2.05
04:50,3.33,21.20,5.20,9.20,1.97
04:55,3.42,21.15,5.15,9.15,1.88
05:00,3.50,21.10,5.10,9.10,1.80
05:05,3.58,21.08,5.08,9.08,1.72
05:10,3.67,21.07,5.07,9.07,1.63
05:15,3.75,21.05,5.05,9.05,1.55
05:20,3.83,21.03,5.03,9.03,1.47
05:25,3.92,21.02,5.02,9.02,1.38
05:30,4.00,21.00,5.00,9.00,1.30
05:35,4.03,21.00,5.00,9.00,1.25
05:40,4.07,21.00,5.00,9.00,1.20
05:45,4.10,21.00,5.00,9.00,1.15
05:50,4.13,21.00,5.00,9.00,1.10
05:55,4.17,21.00,5.00,9.00,1.05
06:00,4.20,21.00,5.00,9.00,1.00
06:05,4.23,21.07,5.18,9.12,1.05
06:10,4.27,21.13,5.37,9.23,1.10
06:15,4.30,21.20,5.55,9.35,1.15
06:20,4.33,21.27,5.73,9.47,1.20
06:25,4.37,21.33,5.92,9.58,1.25
06:30,4.40,21.40,6.10,9.70,1.30
06:35,4.42,21.52,6.42,9.85,1.42
06:40,4.43,21.63,6.73,10.00,1.53
06:45,4.45,21.75,7.05,10.15,1.65
06:50,4.47,21.87,7.37,10.30,1.77
06:55,4.48,21.98,7.68,10.45,1.88
07:00,4.50,22.10,8.00,10.60,2.00
07:05,4.52,22.25,8.33,10.82,2.17
07:10,4.53,22.40,8.67,11.03,2.33
07:15,4.55,22.55,9.00,11.25,2.50
07:20,4.57,22.70,9.33,11.47,2.67
07:25,4.58,22.85,9.67,11.68,2.83
07:30,4.60,23.00,10.00,11.90,3.00
07:35,4.62,23.18,10.37,12.15,3.28
07:40,4.63,23.37,10.73,12.40,3.57
07:45,4.65,23.55,11.10,12.65,3.85
07:50,4.67,23.73,11.47,12.90,4.13
07:55,4.68,23.92,11.83,13.15,4.42
08:00,4.70,24.10,12.20,13.40,4.70
08:05,4.72,24.32,12.60,13.65,4.95
08:10,4.73,24.53,13.00,13.90,5.20
08:15,4.75,24.75,13.40,14.15,5.45
08:20,4.77,24.97,13.80,14.40,5.70
08:25,4.78,25.18,14.20,14.65,5.95
08:30,4.80,25.40,14.60,14.90,6.20
08:35,4.82,25.58,14.97,15.15,6.42
08:40,4.83,25.77,15.33,15.40,6.63
08:45,4.85,25.95,15.70,15.65,6.85
08:50,4.87,26.13,16.07,15.90,7.07
08:55,4.88,26.32,16.43,16.15,7.28
09:00,4.90,26.50,16.80,16.40,7.50
09:05,4.92,26.67,17.07,16.58,7.70
09:10,4.93,26.83,17.33,16.77,7.90
09:15,4.95,27.00,17.60,16.95,8.10
09:20,4.97,27.17,17.87,17.13,8.30
09:25,4.98,27.33,18.13,17.32,8.50
09:30,5.00,27.50,18.40,17.50,8.70
09:35,5.00,27.67,18.62,17.67,8.87
09:40,5.00,27.83,18.83,17.83,9.03
09:45,5.00,28.00,19.05,18.00,9.20
09:50,5.00,28.17,19.27,18.17,9.37
09:55,5.00,28.33,19.48,18.33,9.53
10:00,5.00,28.50,19.70,18.50,9.70
10:05,4.98,28.67,19.87,18.62,9.80
10:10,4.97,28.83,20.03,18.73,9.90
10:15,4.95,29.00,20.20,18.85,10.00
10:20,4.93,29.17,20.37,18.97,10.10
10:25,4.92,29.33,20.53,19.08,10.20
10:30,4.90,29.50,20.70,19.20,10.30
10:35,4.88,29.63,20.82,19.28,10.38
10:40,4.87,29.77,20.93,19.37,10.47
10:45,4.85,29.90,21.05,19.45,10.55
10:50,4.83,30.03,21.17,19.53,10.63
10:55,4.82,30.17,21.28,19.62,10.72
11:00,4.80,30.30,21.40,19.70,10.80
11:05,4.78,30.43,21.48,19.75,10.83
11:10,4.77,30.57,21.57,19.80,10.87
11:15,4.75,30.70,21.65,19.85,10.90
11:20,4.73,30.83,21.73,19.90,10.93
11:25,4.72,30.97,21.82,19.95,10.97
11:30,4.70,31.10,21.90,20.00,11.00
11:35,4.68,31.23,21.92,20.00,11.00
11:40,4.67,31.37,21.93,20.00,11.00
11:45,4.65,31.50,21.95,20.00,11.00
11:50,4.63,31.63,21.97,20.00,11.00
11:55,4.62,31.77,21.98,20.00,11.00
12:00,4.60,31.90,22.00,20.00,11.00
12:05,4.58,32.08,21.95,19.98,10.95
12:10,4.57,32.27,21.90,19.97,10.90
12:15,4.55,32.45,21.85,19.95,10.85
12:20,4.53,32.63,21.80,19.93,10.80
12:25,4.52,32.82,21.75,19.92,10.75
12:30,4.50,33.00,21.70,19.90,10.70
12:35,4.50,33.12,21.60,19.85,10.62
12:40,4.50,33.23,21.50,19.80,10.53
12:45,4.50,33.35,21.40,19.75,10.45
12:50,4.50,33.47,21.30,19.70,10.37
12:55,4.50,33.58,21.20,19.65,10.28
13:00,4.50,33.70,21.10,19.60,10.20
13:05,4.52,33.83,20.98,19.53,10.08
13:10,4.53,33.97,20.87,19.47,9.97
13:15,4.55,34.10,20.75,19.40,9.85
13:20,4.57,34.23,20.63,19.33,9.73
13:25,4.58,34.37,20.52,19.27,9.62
13:30,4.60,34.50,20.40,19.20,9.50
13:35,4.62,34.58,20.23,19.10,9.38
13:40,4.63,34.67,20.07,19.00,9.27
13:45,4.65,34.75,19.90,18.90,9.15
13:50,4.67,34.83,19.73,18.80,9.03
13:55,4.68,34.92,19.57,18.70,8.92
14:00,4.70,35.00,19.40,18.60,8.80
14:05,4.72,35.00,19.23,18.48,8.72
14:10,4.73,35.00,19.07,18.37,8.63
14:15,4.75,35.00,18.90,18.25,8.55
14:20,4.77,35.00,18.73,18.13,8.47
14:25,4.78,35.00,18.57,18.02,8.38
14:30,4.80,35.00,18.40,17.90,8.30
14:35,4.82,35.00,18.23,17.82,8.25
14:40,4.83,35.00,18.07,17.73,8.20
14:45,4.85,35.00,17.90,17.65,8.15
14:50,4.87,35.00,17.73,17.57,8.10
14:55,4.88,35.00,17.57,17.48,8.05
15:00,4.90,35.00,17.40,17.40,8.00
15:05,4.92,35.00,17.23,17.30,7.95
15:10,4.93,35.00,17.07,17.20,7.90
15:15,4.95,35.00,16.90,17.10,7.85
15:20,4.97,35.00,16.73,17.00,7.80
15:25,4.98,35.00,16.57,16.90,7.75
15:30,5.00,35.00,16.40,16.80,7.70
15:35,4.97,34.95,16.27,16.72,7.67
15:40,4.93,34.90,16.13,16.63,7.63
15:45,4.90,34.85,16.00,16.55,7.60
15:50,4.87,34.80,15.87,16.47,7.57
15:55,4.83,34.75,15.73,16.38,7.53
16:00,4.80,34.70,15.60,16.30,7.50
16:05,4.75,34.63,15.48,16.23,7.47
16:10,4.70,34.57,15.37,16.17,7.43
16:15,4.65,34.50,15.25,16.10,7.40
16:20,4.60,34.43,15.13,16.03,7.37
16:25,4.55,34.37,15.02,15.97,7.33
16:30,4.50,34.30,14.90,15.90,7.30
16:35,4.45,34.23,14.80,15.83,7.28
16:40,4.40,34.17,14.70,15.77,7.27
16:45,4.35,34.10,14.60,15.70,7.25
16:50,4.30,34.03,14.50,15.63,7.23
16:55,4.25,33.97,14.40,15.57,7.22
17:00,4.20,33.90,14.30,15.50,7.20
17:05,4.13,33.80,14.22,15.45,7.17
17:10,4.07,33.70,14.13,15.40,7.13
17:15,4.00,33.60,14.05,15.35,7.10
17:20,3.93,33.50,13.97,15.30,7.07
17:25,3.87,33.40,13.88,15.25,7.03
17:30,3.80,33.30,13.80,15.20,7.00
17:35,3.75,33.20,13.73,15.15,6.97
17:40,3.70,33.10,13.67,15.10,6.93
17:45,3.65,33.00,13.60,15.05,6.90
17:50,3.60,32.90,13.53,15.00,6.87
17:55,3.55,32.80,13.47,14.95,6.83
18:00,3.50,32.70,13.40,14.90,6.80
18:05,3.45,32.53,13.35,14.85,6.80
18:10,3.40,32.37,13.30,14.80,6.80
18:15,3.35,32.20,13.25,14.75,6.80
18:20,3.30,32.03,13.20,14.70,6.80
18:25,3.25,31.87,13.15,14.65,6.80
18:30,3.20,31.70,13.10,14.60,6.80
18:35,3.17,31.53,13.05,14.57,6.78
18:40,3.13,31.37,13.00,14.53,6.77
18:45,3.10,31.20,12.95,14.50,6.75
18:50,3.07,31.03,12.90,14.47,6.73
18:55,3.03,30.87,12.85,14.43,6.72
19:00,3.00,30.70,12.80,14.40,6.70
19:05,2.97,30.53,12.78,14.37,6.70
19:10,2.93,30.37,12.77,14.33,6.70
19:15,2.90,30.20,12.75,14.30,6.70
19:20,2.87,30.03,12.73,14.27,6.70
19:25,2.83,29.87,12.72,14.23,6.70
19:30,2.80,29.70,12.70,14.20,6.70
19:35,2.77,29.53,12.67,14.18,6.70
19:40,2.73,29.37,12.63,14.17,6.70
19:45,2.70,29.20,12.60,14.15,6.70
19:50,2.67,29.03,12.57,14.13,6.70
19:55,2.63,28.87,12.53,14.12,6.70
20:00,2.60,28.70,12.50,14.10,6.70
20:05,2.58,28.57,12.48,14.08,6.67
20:10,2.57,28.43,12.47,14.07,6.63
20:15,2.55,28.30,12.45,14.05,6.60
20:20,2.53,28.17,12.43,14.03,6.57
20:25,2.52,28.03,12.42,14.02,6.53
20:30,2.50,27.90,12.40,14.00,6.50
20:35,2.48,27.78,12.38,13.97,6.50
20:40,2.47,27.67,12.37,13.93,6.50
20:45,2.45,27.55,12.35,13.90,6.50
20:50,2.43,27.43,12.33,13.87,6.50
20:55,2.42,27.32,12.32,13.83,6.50
21:00,2.40,27.20,12.30,13.80,6.50
21:05,2.40,27.12,12.27,13.80,6.50
21:10,2.40,27.03,12.23,13.80,6.50
21:15,2.40,26.95,12.20,13.80,6.50
21:20,2.40,26.87,12.17,13.80,6.50
21:25,2.40,26.78,12.13,13.80,6.50
21:30,2.40,26.70,12.10,13.80,6.50
21:35,2.38,26.63,12.08,13.78,6.47
21:40,2.37,26.57,12.07,13.77,6.43
21:45,2.35,26.50,12.05,13.75,6.40
21:50,2.33,26.43,12.03,13.73,6.37
21:55,2.32,26.37,12.02,13.72,6.33
22:00,2.30,26.30,12.00,13.70,6.30
22:05,2.30,26.25,11.98,13.67,6.30
22:10,2.30,26.20,11.97,13.63,6.30
22:15,2.30,26.15,11.95,13.60,6.30
22:20,2.30,26.10,11.93,13.57,6.30
22:25,2.30,26.05,11.92,13.53,6.30
22:30,2.30,26.00,11.90,13.50,6.30
22:35,2.28,25.95,11.87,13.50,6.30
22:40,2.27,25.90,11.83,13.50,6.30
22:45,2.25,25.85,11.80,13.50,6.30
22:50,2.23,25.80,11.77,13.50,6.30
22:55,2.22,25.75,11.73,13.50,6.30
23:00,2.20,25.70,11.70,13.50,6.30
23:05,2.20,25.68,11.68,13.48,6.28
23:10,2.20,25.67,11.67,13.47,6.27
23:15,2.20,25.65,11.65,13.45,6.25
23:20,2.20,25.63,11.63,13.43,6.23
23:25,2.20,25.62,11.62,13.42,6.22
23:30,2.20,25.60,11.60,13.40,6.20
23:35,2.20,25.58,11.57,13.40,6.30
23:40,2.20,25.57,11.53,13.40,6.40
23:45,2.20,25.55,11.50,13.40,6.50
23:50,2.20,25.53,11.47,13.40,6.60
23:55,2.20,25.52,11.43,13.40,6.70
